Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623531601.385218,172.10.0.2:57424,0,131,57,56
1623531601.425604,172.10.0.2:57424,0,131,57,56
1623531601.465056,172.10.0.2:57424,0,131,57,56
1623531601.504429,172.10.0.2:57424,0,131,57,56
1623531601.543044,172.10.0.2:57424,0,131,57,56
1623531601.582003,172.10.0.2:57424,0,131,57,56
1623531601.626610,172.10.0.2:57424,0,131,57,56
1623531601.666850,172.10.0.2:57424,0,131,57,56
1623531601.705527,172.10.0.2:57424,0,131,57,56
1623531601.746579,172.10.0.2:57424,0,131,57,56
1623531601.785892,172.10.0.2:57424,0,131,57,56
1623531601.826038,172.10.0.2:57424,0,131,57,56
1623531601.866064,172.10.0.2:57424,0,131,57,56
1623531601.907654,172.10.0.2:57424,0,131,57,56
1623531601.945873,172.10.0.2:57424,0,131,57,56
1623531601.985845,172.10.0.2:57424,0,131,57,56
1623531602.025646,172.10.0.2:57424,0,131,57,56
1623531602.066734,172.10.0.2:57424,0,131,57,56
1623531602.107457,172.10.0.2:57424,0,131,57,56
1623531602.146656,172.10.0.2:57424,0,131,57,56
1623531602.186659,172.10.0.2:57424,0,131,57,56
1623531602.225378,172.10.0.2:57424,0,131,57,56
1623531602.265907,172.10.0.2:57424,0,131,57,56
1623531602.304070,172.10.0.2:57424,0,131,57,56
1623531602.341716,172.10.0.2:57424,0,131,58,56
1623531602.379368,172.10.0.2:57424,0,131,58,56
1623531602.417889,172.10.0.2:57424,0,131,58,56
1623531602.454978,172.10.0.2:57424,0,131,58,56
1623531602.492126,172.10.0.2:57424,0,131,58,56
1623531602.530362,172.10.0.2:57424,0,131,58,56
1623531602.566759,172.10.0.2:57424,0,131,58,56
1623531602.609401,172.10.0.2:57424,0,131,58,56
1623531602.645591,172.10.0.2:57424,0,131,58,56
1623531602.680976,172.10.0.2:57424,0,131,58,56
1623531602.719209,172.10.0.2:57424,0,131,58,56
1623531602.755564,172.10.0.2:57424,0,131,58,56
1623531602.793897,172.10.0.2:57424,0,131,58,56
1623531602.831193,172.10.0.2:57424,0,131,58,56
1623531602.868694,172.10.0.2:57424,0,131,58,56
1623531602.906568,172.10.0.2:57424,0,131,58,56
1623531602.942793,172.10.0.2:57424,0,131,58,56
1623531602.981494,172.10.0.2:57424,0,131,58,56
1623531603.018423,172.10.0.2:57424,0,131,58,56
1623531603.055178,172.10.0.2:57424,0,131,58,56
1623531603.091527,172.10.0.2:57424,0,131,58,56
1623531603.128590,172.10.0.2:57424,0,131,58,56
1623531603.166277,172.10.0.2:57424,0,131,58,56
1623531603.203796,172.10.0.2:57424,0,131,58,56
1623531603.240285,172.10.0.2:57424,0,131,58,56
1623531603.279006,172.10.0.2:57424,0,131,58,56
1623531603.315764,172.10.0.2:57424,0,131,58,56
1623531603.354474,172.10.0.2:57424,0,131,58,56
1623531603.390673,172.10.0.2:57424,0,131,58,56
1623531603.427619,172.10.0.2:57424,0,131,58,56
1623531603.465773,172.10.0.2:57424,0,131,58,56
1623531603.501659,172.10.0.2:57424,0,131,58,56
1623531603.539917,172.10.0.2:57424,0,131,58,56
1623531603.577293,172.10.0.2:57424,0,131,58,56
1623531603.617166,172.10.0.2:57424,0,131,58,56
1623531603.653159,172.10.0.2:57424,0,131,58,56
1623531603.689835,172.10.0.2:57424,0,131,58,56
1623531603.726520,172.10.0.2:57424,0,131,58,56
1623531603.762887,172.10.0.2:57424,0,131,58,56
1623531603.800472,172.10.0.2:57424,0,131,58,56
1623531603.838246,172.10.0.2:57424,0,131,58,56
1623531603.877109,172.10.0.2:57424,0,131,58,56
1623531603.912985,172.10.0.2:57424,0,131,58,56
1623531603.949408,172.10.0.2:57424,0,131,58,56
1623531603.987067,172.10.0.2:57424,0,131,58,56
1623531604.022239,172.10.0.2:57424,0,131,58,56
1623531604.059894,172.10.0.2:57424,0,131,58,56
1623531604.097421,172.10.0.2:57424,0,131,58,56
1623531604.134393,172.10.0.2:57424,0,131,58,56
1623531604.170744,172.10.0.2:57424,0,131,58,56
1623531604.208812,172.10.0.2:57424,0,131,58,56
1623531604.245090,172.10.0.2:57424,0,131,58,56
1623531604.283291,172.10.0.2:57424,0,131,58,56
1623531604.318550,172.10.0.2:57424,0,131,58,56
1623531604.356484,172.10.0.2:57424,0,131,58,56
1623531604.392123,172.10.0.2:57424,0,131,58,56
1623531604.427232,172.10.0.2:57424,0,131,58,56
1623531604.462764,172.10.0.2:57424,0,131,58,56
1623531604.499691,172.10.0.2:57424,0,131,58,56
1623531604.534655,172.10.0.2:57424,0,131,58,56
1623531604.571774,172.10.0.2:57424,0,131,58,56
1623531604.612482,172.10.0.2:57424,0,131,58,56
1623531604.649276,172.10.0.2:57424,0,131,58,56
1623531604.686365,172.10.0.2:57424,0,131,58,56
1623531604.721667,172.10.0.2:57424,0,131,58,56
1623531604.757498,172.10.0.2:57424,0,131,58,56
1623531604.792790,172.10.0.2:57424,0,131,58,56
1623531604.830658,172.10.0.2:57424,0,131,58,56
1623531604.869004,172.10.0.2:57424,0,131,58,56
1623531604.905235,172.10.0.2:57424,0,131,58,56
1623531604.940747,172.10.0.2:57424,0,131,58,56
1623531604.976500,172.10.0.2:57424,0,131,59,56
1623531605.014018,172.10.0.2:57424,0,131,59,56
1623531605.050734,172.10.0.2:57424,0,131,59,56
1623531605.087123,172.10.0.2:57424,0,131,59,56
1623531605.123571,172.10.0.2:57424,0,131,59,56
1623531605.159696,172.10.0.2:57424,0,131,59,56
1623531605.198319,172.10.0.2:57424,0,131,59,56
1623531605.235376,172.10.0.2:57424,0,131,59,56
1623531605.272482,172.10.0.2:57424,0,131,59,56
1623531605.308797,172.10.0.2:57424,0,131,59,56
1623531605.348131,172.10.0.2:57424,0,131,59,56
1623531605.383260,172.10.0.2:57424,0,131,59,56
1623531605.417580,172.10.0.2:57424,0,131,59,56
1623531605.453955,172.10.0.2:57424,0,131,59,56
1623531605.488968,172.10.0.2:57424,0,131,59,56
1623531605.524973,172.10.0.2:57424,0,131,59,56
1623531605.560530,172.10.0.2:57424,0,131,59,56
1623531605.596285,172.10.0.2:57424,0,131,59,56
1623531605.632821,172.10.0.2:57424,0,131,59,56
1623531605.673047,172.10.0.2:57424,0,131,59,56
1623531605.708327,172.10.0.2:57424,0,131,59,56
1623531605.743740,172.10.0.2:57424,0,131,59,56
1623531605.780137,172.10.0.2:57424,0,131,59,56
1623531605.815383,172.10.0.2:57424,0,131,59,56
1623531605.852099,172.10.0.2:57424,0,131,59,56
1623531605.887955,172.10.0.2:57424,0,131,59,56
1623531605.923696,172.10.0.2:57424,0,131,59,56
1623531605.961140,172.10.0.2:57424,0,131,59,56
1623531605.995946,172.10.0.2:57424,0,131,59,56
1623531606.034288,172.10.0.2:57424,0,131,59,56
1623531606.069556,172.10.0.2:57424,0,131,59,56
1623531606.106412,172.10.0.2:57424,0,131,59,56
1623531606.143242,172.10.0.2:57424,0,131,59,56
1623531606.179197,172.10.0.2:57424,0,131,59,56
1623531606.215738,172.10.0.2:57424,0,131,59,56
1623531606.254827,172.10.0.2:57424,0,131,59,56
1623531606.291654,172.10.0.2:57424,0,131,59,56
1623531606.327456,172.10.0.2:57424,0,131,59,56
1623531606.362476,172.10.0.2:57424,0,131,59,56
1623531606.397864,172.10.0.2:57424,0,131,59,56
1623531606.433685,172.10.0.2:57424,0,131,59,56
1623531606.473349,172.10.0.2:57424,0,131,59,56
1623531606.508019,172.10.0.2:57424,0,131,59,56
1623531606.543610,172.10.0.2:57424,0,131,59,56
1623531606.579674,172.10.0.2:57424,0,131,59,56
1623531606.621934,172.10.0.2:57424,0,131,59,56
1623531606.659250,172.10.0.2:57424,0,131,59,56
1623531606.696752,172.10.0.2:57424,0,131,59,56
1623531606.731167,172.10.0.2:57424,0,131,59,56
1623531606.766690,172.10.0.2:57424,0,131,59,56
1623531606.803344,172.10.0.2:57424,0,131,59,56
1623531606.840120,172.10.0.2:57424,0,131,59,56
1623531606.876852,172.10.0.2:57424,0,131,59,56
1623531606.915833,172.10.0.2:57424,0,131,59,56
1623531606.951279,172.10.0.2:57424,0,131,59,56
1623531606.988688,172.10.0.2:57424,0,131,59,56
1623531607.025383,172.10.0.2:57424,0,131,59,56
1623531607.061658,172.10.0.2:57424,0,131,59,56
1623531607.099612,172.10.0.2:57424,0,131,59,56
1623531607.138369,172.10.0.2:57424,0,131,59,56
1623531607.173404,172.10.0.2:57424,0,131,59,56
1623531607.210335,172.10.0.2:57424,0,131,59,56
1623531607.249187,172.10.0.2:57424,0,131,59,56
1623531607.284321,172.10.0.2:57424,0,131,59,56
1623531607.321087,172.10.0.2:57424,0,131,59,56
1623531607.357164,172.10.0.2:57424,0,131,59,56
1623531607.392149,172.10.0.2:57424,0,131,59,56
1623531607.427083,172.10.0.2:57424,0,131,59,56
1623531607.464022,172.10.0.2:57424,0,131,60,56
1623531607.504106,172.10.0.2:57424,0,131,60,56
1623531607.539365,172.10.0.2:57424,0,131,60,56
1623531607.575495,172.10.0.2:57424,0,131,60,56
1623531607.615025,172.10.0.2:57424,0,131,60,56
1623531607.651850,172.10.0.2:57424,0,131,60,56
1623531607.687579,172.10.0.2:57424,0,131,60,56
1623531607.725044,172.10.0.2:57424,0,131,60,56
1623531607.760153,172.10.0.2:57424,0,131,60,56
1623531607.795672,172.10.0.2:57424,0,131,60,56
1623531607.831828,172.10.0.2:57424,0,131,60,56
1623531607.868698,172.10.0.2:57424,0,131,60,56
1623531607.905731,172.10.0.2:57424,0,131,60,56
1623531607.940745,172.10.0.2:57424,0,131,60,56
1623531607.976529,172.10.0.2:57424,0,131,60,56
1623531608.011495,172.10.0.2:57424,0,131,60,56
1623531608.046547,172.10.0.2:57424,0,131,60,56
1623531608.084805,172.10.0.2:57424,0,131,60,56
1623531608.123170,172.10.0.2:57424,0,131,60,56
1623531608.159798,172.10.0.2:57424,0,131,60,56
1623531608.195133,172.10.0.2:57424,0,131,60,56
1623531608.230114,172.10.0.2:57424,0,131,60,56
1623531608.267249,172.10.0.2:57424,0,131,60,56
1623531608.304989,172.10.0.2:57424,0,131,60,56
1623531608.343438,172.10.0.2:57424,0,131,60,56
1623531608.378831,172.10.0.2:57424,0,131,60,56
1623531608.415325,172.10.0.2:57424,0,131,60,56
1623531608.451628,172.10.0.2:57424,0,131,60,56
1623531608.485967,172.10.0.2:57424,0,131,60,56
1623531608.521492,172.10.0.2:57424,0,131,60,56
1623531608.556691,172.10.0.2:57424,0,131,60,56
1623531608.592883,172.10.0.2:57424,0,131,60,56
1623531608.631840,172.10.0.2:57424,0,131,60,56
1623531608.673318,172.10.0.2:57424,0,131,60,56
1623531608.709820,172.10.0.2:57424,0,131,60,56
1623531608.745827,172.10.0.2:57424,0,131,60,56
1623531608.782273,172.10.0.2:57424,0,131,60,56
1623531608.818876,172.10.0.2:57424,0,131,60,56
1623531608.855168,172.10.0.2:57424,0,131,60,56
1623531608.891063,172.10.0.2:57424,0,131,60,56
1623531608.934727,172.10.0.2:57424,0,131,60,56
1623531608.972460,172.10.0.2:57424,0,131,60,56
1623531609.008647,172.10.0.2:57424,0,131,60,56
